pert_name	n_signatures	min_score	median_score	mean_score	best_fdr_q_nlog10	best_cell	moa	targets	direction
BRD-K06373645	2	0	0.45645	0.45645	-0	HT29	-666		positive_or_zero
BRD-K06408981	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06418332	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06425073	1	0	0	0	-0	A549	-666		positive_or_zero
BRD-K06431647	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06436793	1	0	0	0	-0	PC3	-666		positive_or_zero
BRD-K06439119	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06449093	2	0	0.4784	0.4784	-0	U2OS	-666		positive_or_zero
BRD-K06450191	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06470746	7	0	0	0.33052857142857145	-0	VCAP	-666		positive_or_zero
BRD-K06486491	2	0	0.4849	0.4849	-0	VCAP	-666		positive_or_zero
BRD-K06511061	1	0	0	0	-0	HT29	-666		positive_or_zero
BRD-K06514792	1	0	0	0	-0	MCF7	-666		positive_or_zero
BRD-K06521224	4	0	0.41995	0.444825	-0	HT29	-666		positive_or_zero
BRD-K06573818	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06576075	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06614363	1	0	0	0	-0	PC3	-666		positive_or_zero
BRD-K06651637	2	0	0.5585	0.5585	-0	U2OS	-666		positive_or_zero
BRD-K06719830	2	0	0	0	-0	HEPG2	-666		positive_or_zero
BRD-K06725649	4	0	0.94945	0.812075	-0	U2OS	-666		positive_or_zero
BRD-K06731779	3	0	1.0404	0.6974	-0	VCAP	-666		positive_or_zero
BRD-K06743908	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06780475	7	0	0	0.42664285714285716	-0	VCAP	-666		positive_or_zero
BRD-K06806702	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K06832445	2	0	0.60155	0.60155	-0	VCAP	-666		positive_or_zero
BRD-K06851272	2	0	0.3765	0.3765	-0	MCF7	-666		positive_or_zero
BRD-K06863452	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06863921	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06873288	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06877934	2	0	0.6488	0.6488	-0	U2OS	-666		positive_or_zero
