mature_mirna_id	n_targets_total	n_targets_BROAD	n_targets_PPI_core	n_hits_TOP2A	n_hits_PARP1	hits_any_core_hub	hits_TOP2A_or_PARP1	logFC	adj.P.Val
hsa-miR-3685	3	3	1	0	0	TRUE	FALSE	-1.9929571379999995	1.1468615125176878e-8
hsa-miR-3925-3p	3	3	1	0	0	TRUE	FALSE	-1.6370154812	2.0738129300086225e-8
hsa-miR-4473	3	3	1	0	0	TRUE	FALSE	-3.1489345158999997	1.256507914797394e-5
hsa-miR-5187-3p	3	3	1	0	0	TRUE	FALSE	-3.9924757118	7.268681878303966e-6
hsa-miR-622	3	3	1	0	0	TRUE	FALSE	-1.2501658190999994	0.02713013992716069
hsa-miR-7-2-3p	3	3	1	2	0	TRUE	TRUE	-1.1001240003999997	8.743035477486349e-11
hsa-miR-1257	2	2	1	0	0	TRUE	FALSE	1.122091342200001	2.650678212812178e-4
hsa-miR-1265	2	2	1	0	0	TRUE	FALSE	-1.3069884230999955	0.01767876601482435
hsa-miR-3168	2	2	1	0	0	TRUE	FALSE	-9.973661081599996	2.6825543840930143e-5
hsa-miR-4255	2	2	1	0	0	TRUE	FALSE	-2.8106021842999978	0.00189090170256517
hsa-miR-4308	2	2	1	0	0	TRUE	FALSE	-5.169479643999999	7.755591370509515e-6
hsa-miR-4310	2	2	1	0	0	TRUE	FALSE	-1.3571359114	8.034473531407267e-10
hsa-miR-4671-3p	2	2	1	0	0	TRUE	FALSE	-2.011664714399999	8.556691976715017e-8
hsa-miR-4699-3p	2	2	1	0	0	TRUE	FALSE	-1.8040074416999987	5.078760925046861e-6
hsa-miR-4742-3p	2	2	1	0	0	TRUE	FALSE	-7.664020862899993	5.157679422335803e-5
hsa-miR-4804-3p	2	2	1	0	0	TRUE	FALSE	-1.0535467121	5.369798437955412e-5
hsa-miR-548m	2	2	1	0	0	TRUE	FALSE	1.3170929268	4.951038023129369e-5
hsa-miR-5584-3p	2	2	1	0	0	TRUE	FALSE	-3.8670046442999992	5.078760925046861e-6
hsa-miR-323b-5p	1	1	1	0	0	TRUE	FALSE	-4.960560506599998	6.678878609630094e-5
hsa-miR-337-3p	1	1	1	0	0	TRUE	FALSE	-1.2290741760999988	4.946206229620386e-7
hsa-miR-4297	1	1	1	0	0	TRUE	FALSE	-1.7530775533999954	0.01353972449309431
hsa-miR-4307	1	1	1	0	0	TRUE	FALSE	-12.902482436499996	2.411126546283228e-7
hsa-miR-4424	1	1	1	0	0	TRUE	FALSE	2.1105889702000016	1.1899192992518866e-7
hsa-miR-4641	1	1	1	0	0	TRUE	FALSE	-2.0417794099999997	1.0869497009777138e-10
hsa-miR-4691-3p	1	1	1	0	0	TRUE	FALSE	1.3552412089000017	4.604764202676051e-5
hsa-miR-4764-5p	1	1	1	0	0	TRUE	FALSE	4.8901247396000045	1.0583417337150478e-6
hsa-miR-4776-3p	1	1	1	0	0	TRUE	FALSE	-2.3508697529	3.716480709747565e-7
hsa-miR-1299	17	17	0	0	0	FALSE	FALSE	-5.059878283999998	0.00740525106103915
hsa-miR-877-3p	16	16	0	0	0	FALSE	FALSE	-1.0887600025	2.7266913679026497e-8
hsa-miR-1260b	14	14	0	0	0	FALSE	FALSE	-3.9380575892	7.750397178969112e-6
hsa-miR-4768-5p	11	11	0	0	0	FALSE	FALSE	-2.1104462178	3.0276057552427564e-8
hsa-miR-500a-5p	11	11	0	0	0	FALSE	FALSE	-1.703528868599999	8.624136208676051e-5
hsa-miR-4450	9	9	0	0	0	FALSE	FALSE	2.6723668691000015	7.962141869438482e-6
hsa-miR-4279	8	8	0	0	0	FALSE	FALSE	-3.0959180820999994	3.3735582459656766e-8
hsa-miR-34b-3p	7	7	0	0	0	FALSE	FALSE	-6.6344338371	8.034473531407267e-10
