gene	degree	betweenness	closeness	eigenvector	logFC_human	direction	is_hub	is_bottleneck	hub_type
PGAM1	8	2.9807147754031416e-5	0.1623155505107832	4.1224601927538477e-7	1.5325952740000006	up	FALSE	FALSE	none
PLEK2	4	4.4710721631047124e-5	1	0	2.0974674476969715	up	FALSE	FALSE	none
PLN	2	0	1	0	-1.2353717221151532	down	FALSE	FALSE	none
PLSCR1	2	0	0.2028368794326241	1.3707768266075132e-4	2.299554211733337	up	FALSE	FALSE	none
POLE3	8	0.0024358465847862886	0.24319727891156462	0.029067738474279157	1.2859283419878798	up	FALSE	FALSE	none
POP1	4	5.812393812036126e-4	0.2545454545454545	0	2.620918714339397	up	FALSE	FALSE	none
PPA1	2	0	0.14895833333333333	1.3861066819844e-7	2.0548217044242447	up	FALSE	FALSE	none
PRCP	2	0	1	0	-1.51775310737879	down	FALSE	FALSE	none
PSMA5	4	0	0.21185185185185185	1.2712660000116746e-4	1.271565900648486	up	FALSE	FALSE	none
PSMB3	4	0	0.21185185185185185	1.2712660000115992e-4	1.3235638040303042	up	FALSE	FALSE	none
PTH1R	2	0	0.17830423940149626	3.344643471102854e-5	-1.4461637848787892	down	FALSE	FALSE	none
PVALB	2	0	0.4166666666666667	0	-1.2215295506424255	down	FALSE	FALSE	none
RAD51AP1	38	0.014617305937717477	0.3294930875576037	0.6178371663905302	2.1980741608606076	up	FALSE	FALSE	none
RAD54B	2	0	0.2595281306715064	0.014561089222735853	2.308236560896972	up	FALSE	FALSE	none
RBM28	10	3.68118274762288e-4	0.4827586206896552	0	1.158014780436365	up	FALSE	FALSE	none
RIOK1	2	0	0.34146341463414637	-0	2.0820518499333343	up	FALSE	FALSE	none
RIPK2	4	0.006348922471608692	0.2220496894409938	1.252261639944822e-4	1.7466654824151533	up	FALSE	FALSE	none
RND1	2	0	0.1535982814178303	1.4366174828737213e-6	1.723838463739396	up	FALSE	FALSE	none
RPA1	16	0.00522457478780816	0.29606625258799174	0.057905701070233434	1.252575789648486	up	FALSE	FALSE	none
RPA2	14	0.0017737438927933385	0.2948453608247423	0.056982378798790305	1.466457679721213	up	FALSE	FALSE	none
RRBP1	4	0.0023551186569996108	0.28888888888888886	0.03724959862572216	-2.030068859390912	down	FALSE	FALSE	none
RRM2	60	0.06467208817613937	0.3548387096774194	0.7963522548705034	1.0147875111727274	up	TRUE	TRUE	hub_bottleneck
RTKN	2	0	1	0	-1.462113769166668	down	FALSE	FALSE	none
SAE1	2	0	0.20967741935483872	0.0020687011073785917	1.1986645462666672	up	FALSE	FALSE	none
SASS6	4	7.250725978695551e-5	0.22990353697749197	0.005290837100791113	2.5508191986909123	up	FALSE	FALSE	none
SF3B4	2	0	0.3181818181818182	0	1.2425548925757586	up	FALSE	FALSE	none
SGCA	2	0	1	-0	-2.109113147454547	down	FALSE	FALSE	none
SHCBP1	26	1.3328067335469175e-4	0.3023255813953488	0.4797424838541394	1.643526330345456	up	FALSE	FALSE	none
SLC25A31	4	0.006348922471608692	0.22843450479233227	2.809513767065956e-4	1.064550066587879	up	FALSE	FALSE	none
SLC31A1	2	0	0.6666666666666666	0	1.898600894115153	up	FALSE	FALSE	none
SLC31A2	2	0	0.6666666666666666	0	2.247981178587881	up	FALSE	FALSE	none
SNTB2	2	0	1	0	-1.4044761886848498	down	FALSE	FALSE	none
SOAT1	2	0	0.6666666666666666	0	1.2401101140666675	up	FALSE	FALSE	none
SPP1	14	0.005299201011560468	0.26094890510948904	0.002251857236814756	2.1652923916333355	up	FALSE	FALSE	none
STIL	6	0.0020603265677261932	0.26	0.07069642403339518	1.535844340296969	up	FALSE	FALSE	none
STOML2	2	0	0.5454545454545454	0	1.02566788449697	up	FALSE	FALSE	none
SYCE1	2	0	1	0	-1.6815596986969716	down	FALSE	FALSE	none
SYCE2	2	0	1	0	-1.1483790816606072	down	FALSE	FALSE	none
TAPBPL	2	0	0.15100316789862725	5.768595861823689e-7	-1.6788534622272742	down	FALSE	FALSE	none
TGFBR2	4	0	0.24612736660929432	0.001764050830189585	-1.321803710933335	down	FALSE	FALSE	none
THBS2	10	0	0.2482638888888889	0.0020538597707468334	1.6849949102848496	up	FALSE	FALSE	none
TK1	24	6.840790333796085e-4	0.3004201680672269	0.36461215978808587	1.036259860863636	up	FALSE	FALSE	none
TNFAIP6	2	0	0.24486301369863014	0.0016869846611558836	2.333635464481821	up	FALSE	FALSE	none
TNFRSF4	6	0.012653134221586336	0.19066666666666668	9.045077017896618e-6	-1.9802824294727297	down	FALSE	FALSE	none
TNFSF8	2	0	0.16031390134529147	3.9371774419037566e-7	-1.1550998374787886	down	FALSE	FALSE	none
TOP2A	66	0.032445754408689506	0.3647959183673469	0.9396216406190473	2.8273315402969716	up	TRUE	TRUE	hub_bottleneck
TPM2	2	0	1	0	-1.2848554867696986	down	FALSE	FALSE	none
TRIM28	6	0.006370228515747414	0.26481481481481484	0.0475253176138598	1.855756495103032	up	FALSE	FALSE	none
